soc,freqhz,calc_ima,calc_rezohm,calc_imzohm,zohm,phasezdeg,temperaturec,cycle,zelle,calc_soc
500,201.98988,5000,0.011947563,-0.00069928664,0.01196801,-3.3496802,22.800215,15,JT_VTC_008,20
500,201.98988,5000,0.011914863,-0.0006490754,0.0119325295,-3.118169,22.673544,20,JT_VTC_008,20
500,201.98988,5000,0.0119033605,-0.00062913937,0.011919975,-3.0254917,22.73688,25,JT_VTC_008,20
500,201.98988,5000,0.011995033,-0.0007051208,0.01201574,-3.3642263,23.14175,26,JT_VTC_008,20
500,201.98988,5000,0.011943936,-0.000665357,0.011962454,-3.188462,23.244543,30,JT_VTC_008,20
500,201.98988,5000,0.011901952,-0.0006449854,0.011919416,-3.1019137,23.32361,35,JT_VTC_008,20
500,201.98988,5000,0.011865239,-0.0006415087,0.011882569,-3.0947535,23.284077,40,JT_VTC_008,20
500,201.98988,5000,0.0118889045,-0.0006529804,0.011906823,-3.1437268,23.473843,45,JT_VTC_008,20
500,201.98988,5000,0.0118929725,-0.00064013584,0.011910188,-3.0809557,23.56082,50,JT_VTC_008,20
500,201.98988,7500,0.0122299995,-0.0010294393,0.012273249,-4.811432,23.013973,0,JT_VTC_008,20
500,201.98988,7500,0.012046809,-0.00080738147,0.012073834,-3.8342497,22.705214,5,JT_VTC_008,20
500,201.98988,7500,0.012006977,-0.00072063727,0.012028583,-3.43467,22.950636,10,JT_VTC_008,20
500,201.98988,7500,0.011950477,-0.0006844912,0.011970064,-3.2781663,22.681461,15,JT_VTC_008,20
500,201.98988,7500,0.011911493,-0.0006546789,0.01192947,-3.145923,22.91105,20,JT_VTC_008,20
500,201.98988,7500,0.01188042,-0.00063067145,0.011897148,-3.0386913,22.823967,25,JT_VTC_008,20
500,201.98988,7500,0.011984147,-0.00069211505,0.012004116,-3.3053062,23.133844,26,JT_VTC_008,20
500,201.98988,7500,0.011930226,-0.0006574002,0.011948326,-3.1540225,23.268263,30,JT_VTC_008,20
500,201.98988,7500,0.011910844,-0.0006372627,0.0119278785,-3.062561,23.32361,35,JT_VTC_008,20
500,201.98988,7500,0.011877865,-0.00062784087,0.011894447,-3.0257277,23.260355,40,JT_VTC_008,20
500,201.98988,7500,0.011875821,-0.00063729146,0.011892908,-3.0717137,23.576633,45,JT_VTC_008,20
500,201.98988,7500,0.011868029,-0.00063307775,0.011884903,-3.0534418,23.1971,50,JT_VTC_008,20
500,201.98988,10000,0.012227709,-0.0010193295,0.012270123,-4.765288,22.792297,0,JT_VTC_008,20
500,201.98988,10000,0.012053528,-0.0007925083,0.012079553,-3.7617302,22.808132,5,JT_VTC_008,20
500,201.98988,10000,0.011988602,-0.0007057875,0.012009359,-3.3692026,22.412285,10,JT_VTC_008,20
500,201.98988,10000,0.011926786,-0.0006811442,0.011946221,-3.2686374,22.728962,15,JT_VTC_008,20
500,201.98988,10000,0.0118956035,-0.00063941075,0.011912775,-3.0767937,22.649794,20,JT_VTC_008,20
500,201.98988,10000,0.011873339,-0.00062552583,0.011889805,-3.0157385,22.73688,25,JT_VTC_008,20
500,201.98988,10000,0.011966261,-0.0006798659,0.011985559,-3.2517772,23.14966,26,JT_VTC_008,20
500,201.98988,10000,0.0119076,-0.0006432844,0.011924963,-3.0922844,23.252449,30,JT_VTC_008,20
500,201.98988,10000,0.011885439,-0.00063813734,0.011902558,-3.0732987,23.307798,35,JT_VTC_008,20
500,201.98988,10000,0.011872557,-0.00060970156,0.011888202,-2.9397767,23.307798,40,JT_VTC_008,20
500,201.98988,10000,0.011886635,-0.0006324372,0.011903448,-3.0455925,23.133844,45,JT_VTC_008,20
500,201.98988,10000,0.011856825,-0.00062483543,0.011873278,-3.0166042,23.497564,50,JT_VTC_008,20
625,201.98988,1250,0.012195325,-0.0010094161,0.012237029,-4.731628,22.808132,0,JT_VTC_008,25
625,201.98988,1250,0.012003518,-0.0007564046,0.012027327,-3.6057396,22.998138,5,JT_VTC_008,25
625,201.98988,1250,0.011948148,-0.00067470456,0.011967183,-3.232025,23.053556,10,JT_VTC_008,25
625,201.98988,1250,0.011890248,-0.00064968405,0.0119079845,-3.1275356,22.57854,15,JT_VTC_008,25
625,201.98988,1250,0.011839986,-0.0006187462,0.011856142,-2.9915009,22.752714,20,JT_VTC_008,25
625,201.98988,1250,0.011829797,-0.00060341385,0.011845177,-2.92001,22.721045,25,JT_VTC_008,25
625,201.98988,1250,0.011962922,-0.00068412593,0.011982468,-3.2730198,23.125938,26,JT_VTC_008,25
625,201.98988,1250,0.011908996,-0.00064057345,0.011926211,-3.0789177,23.054775,30,JT_VTC_008,25
625,201.98988,1250,0.01187337,-0.0006114098,0.011889102,-2.947797,23.331518,35,JT_VTC_008,25
625,201.98988,1250,0.0118356,-0.0006130475,0.011851467,-2.9650943,23.260355,40,JT_VTC_008,25
625,201.98988,1250,0.011826248,-0.00062141806,0.011842563,-3.0078788,23.14175,45,JT_VTC_008,25
625,201.98988,1250,0.01182696,-0.00061311806,0.011842842,-2.9675977,23.165472,50,JT_VTC_008,25
625,201.98988,2500,0.012213794,-0.00099723,0.012254437,-4.667723,22.594376,0,JT_VTC_008,25
625,201.98988,2500,0.012001425,-0.0007615094,0.01202556,-3.6306407,22.728962,5,JT_VTC_008,25
625,201.98988,2500,0.011921674,-0.00068519905,0.011941348,-3.2894602,22.73688,10,JT_VTC_008,25
625,201.98988,2500,0.011905745,-0.00064488465,0.011923198,-3.100444,22.618126,15,JT_VTC_008,25
625,201.98988,2500,0.011850189,-0.00062071386,0.0118664345,-2.9984171,22.697296,20,JT_VTC_008,25
625,201.98988,2500,0.011824258,-0.0005997736,0.01183946,-2.9037821,22.728962,25,JT_VTC_008,25
625,201.98988,2500,0.011928526,-0.0006669527,0.011947157,-3.2002134,23.118032,26,JT_VTC_008,25
625,201.98988,2500,0.01186891,-0.0006293171,0.0118855825,-3.0351124,23.07059,30,JT_VTC_008,25
625,201.98988,2500,0.011870433,-0.0006153693,0.011886373,-2.9675858,23.29989,35,JT_VTC_008,25
625,201.98988,2500,0.011862195,-0.00061311666,0.011878029,-2.9587917,23.268263,40,JT_VTC_008,25
625,201.98988,2500,0.011839258,-0.0006159285,0.011855268,-2.9780855,23.14175,45,JT_VTC_008,25
625,201.98988,2500,0.011813433,-0.00061113003,0.011829229,-2.9613736,23.14966,50,JT_VTC_008,25
625,201.98988,5000,0.012163673,-0.0009831991,0.012203344,-4.6212153,22.847717,0,JT_VTC_008,25
625,201.98988,5000,0.012035476,-0.00076799863,0.012059954,-3.6511648,22.705214,5,JT_VTC_008,25
625,201.98988,5000,0.011934452,-0.0006714638,0.011953326,-3.2202172,22.81605,10,JT_VTC_008,25
625,201.98988,5000,0.011870521,-0.00063874514,0.011887694,-3.0800788,22.697296,15,JT_VTC_008,25
625,201.98988,5000,0.011845331,-0.0006094893,0.011861001,-2.9454978,22.86355,20,JT_VTC_008,25
625,201.98988,5000,0.011836958,-0.00058965676,0.011851636,-2.8518255,22.744797,25,JT_VTC_008,25
625,201.98988,5000,0.0119089475,-0.0006666296,0.011927592,-3.2039137,23.102217,26,JT_VTC_008,25
625,201.98988,5000,0.011877227,-0.0006297891,0.011893912,-3.035262,23.244543,30,JT_VTC_008,25
625,201.98988,5000,0.011838521,-0.0006023564,0.011853836,-2.9127574,23.32361,35,JT_VTC_008,25
625,201.98988,5000,0.011814565,-0.0006013385,0.01182986,-2.9137297,23.284077,40,JT_VTC_008,25
625,201.98988,5000,0.011833462,-0.0006163343,0.011849502,-2.9815006,23.181288,45,JT_VTC_008,25
625,201.98988,5000,0.011831189,-0.00061171025,0.011846992,-2.9597394,23.181288,50,JT_VTC_008,25
625,201.98988,7500,0.012157614,-0.0009724506,0.012196444,-4.573179,22.871468,0,JT_VTC_008,25
625,201.98988,7500,0.011979443,-0.0007323567,0.012001808,-3.498392,22.459787,5,JT_VTC_008,25
625,201.98988,7500,0.011921008,-0.00067047373,0.011939848,-3.2190971,22.689379,10,JT_VTC_008,25
625,201.98988,7500,0.011869961,-0.0006364039,0.011887009,-3.0689554,22.657711,15,JT_VTC_008,25
625,201.98988,7500,0.011835663,-0.0006027394,0.011851001,-2.9153092,22.81605,20,JT_VTC_008,25
625,201.98988,7500,0.01181825,-0.0005886543,0.011832901,-2.8514845,22.76063,25,JT_VTC_008,25
625,201.98988,7500,0.0119245425,-0.0006461083,0.011942034,-3.1014285,23.17338,26,JT_VTC_008,25
625,201.98988,7500,0.011877674,-0.00061199145,0.01189343,-2.9495292,23.07059,30,JT_VTC_008,25
625,201.98988,7500,0.0118448725,-0.00060281454,0.011860202,-2.9134088,23.27617,35,JT_VTC_008,25
625,201.98988,7500,0.011830886,-0.0005963293,0.011845905,-2.8855202,23.268263,40,JT_VTC_008,25
625,201.98988,7500,0.011821346,-0.00060647295,0.011836893,-2.9368823,23.157566,45,JT_VTC_008,25
625,201.98988,7500,0.0118140485,-0.00059897243,0.011829223,-2.902412,23.181288,50,JT_VTC_008,25
625,201.98988,10000,0.012150869,-0.0009363448,0.012186893,-4.406499,22.697296,0,JT_VTC_008,25
625,201.98988,10000,0.011981246,-0.0007145526,0.012002535,-3.4130347,22.721045,5,JT_VTC_008,25
625,201.98988,10000,0.011896661,-0.00065230124,0.011914531,-3.1384203,22.665628,10,JT_VTC_008,25
625,201.98988,10000,0.011869658,-0.00062349084,0.011886022,-3.0068765,22.594376,15,JT_VTC_008,25
625,201.98988,10000,0.0118365595,-0.00059126335,0.011851317,-2.859679,22.728962,20,JT_VTC_008,25
625,201.98988,10000,0.011815448,-0.00058527937,0.011829936,-2.835834,22.713129,25,JT_VTC_008,25
625,201.98988,10000,0.011902035,-0.00064591545,0.011919549,-3.1063564,23.157566,26,JT_VTC_008,25
625,201.98988,10000,0.011849453,-0.00060163636,0.011864717,-2.9066024,23.228727,30,JT_VTC_008,25
625,201.98988,10000,0.011836662,-0.00059662416,0.011851689,-2.885538,23.29989,35,JT_VTC_008,25
625,201.98988,10000,0.011814432,-0.00058048265,0.011828684,-2.8128717,23.291983,40,JT_VTC_008,25
625,201.98988,10000,0.011812975,-0.0005965332,0.011828028,-2.8908741,23.165472,45,JT_VTC_008,25
625,201.98988,10000,0.011815043,-0.00059065415,0.011829797,-2.8619313,23.189194,50,JT_VTC_008,25
750,201.98988,1250,0.012129448,-0.00094435335,0.012166155,-4.4518538,22.823967,0,JT_VTC_008,30
750,201.98988,1250,0.011954054,-0.0007098388,0.011975111,-3.3982668,22.792297,5,JT_VTC_008,30
750,201.98988,1250,0.011935379,-0.00067203527,0.011954284,-3.2227018,22.467705,10,JT_VTC_008,30
750,201.98988,1250,0.011842557,-0.00059908594,0.0118577005,-2.8959844,22.618126,15,JT_VTC_008,30
750,201.98988,1250,0.011798803,-0.0005868312,0.011813387,-2.8473454,22.697296,20,JT_VTC_008,30
750,201.98988,1250,0.011787808,-0.00055878976,0.011801044,-2.71402,22.594376,25,JT_VTC_008,30
750,201.98988,1250,0.0119155375,-0.00063704205,0.011932555,-3.0602987,23.086405,26,JT_VTC_008,30
750,201.98988,1250,0.011849175,-0.00060839887,0.011864784,-2.9392848,23.205008,30,JT_VTC_008,30
750,201.98988,1250,0.011832494,-0.0005931485,0.011847352,-2.8697655,23.29989,35,JT_VTC_008,30
750,201.98988,1250,0.0117884455,-0.00057952845,0.011802682,-2.8144357,23.118032,40,JT_VTC_008,30
